"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"15","MPP.1","BP","GO:0032101","regulation of response to external stimulus","26/219","390/8716",4.74582383009715e-06,0.00343801246426481,0.00299561300860539,"702981/710820/715615/722000/695091/711776/707749/574378/574360/713737/574296/713885/699578/702743/698160/613025/717994/715283/693567/697481/702990/719350/704130/697482/697969/693944",26
"16","MPP.1","BP","GO:0098542","defense response to other organism","28/219","444/8716",5.79988542422597e-06,0.00343801246426481,0.00299561300860539,"710820/719092/708404/707749/703281/780935/574378/718361/574360/713737/574296/574243/695796/699578/696712/106997899/702743/613025/715283/693567/719350/701025/712265/694286/704130/697482/697969/695683",28
"17","MPP.1","BP","GO:0043122","regulation of canonical NF-kappaB signal transduction","12/219","100/8716",7.01635196788737e-06,0.00343801246426481,0.00299561300860539,"710820/715615/707749/697017/703281/574252/574296/695796/698160/613025/707336/704130",12
"18","MPP.1","BP","GO:0051607","defense response to virus","14/219","140/8716",1.04582182437867e-05,0.00366037638532536,0.00318936339825556,"719092/708404/707749/703281/780935/695796/699578/702743/693567/712265/694286/704130/697969/695683",14
"19","MPP.1","BP","GO:0140546","defense response to symbiont","14/219","140/8716",1.04582182437867e-05,0.00366037638532536,0.00318936339825556,"719092/708404/707749/703281/780935/695796/699578/702743/693567/712265/694286/704130/697969/695683",14
"20","MPP.1","BP","GO:0032103","positive regulation of response to external stimulus","18/219","228/8716",1.6183789914739e-05,0.00495628566138882,0.00431851657198561,"710820/715615/695091/711776/707749/574378/574360/713737/574296/699578/698160/613025/717994/715283/693567/704130/697482/693944",18
"21","MPP.1","BP","GO:0002224","toll-like receptor signaling pathway","7/219","35/8716",2.12149068615876e-05,0.0054780666618969,0.0047731553986367,"707749/574378/574360/574296/699578/613025/715283",7
"22","MPP.1","BP","GO:0001817","regulation of cytokine production","20/219","279/8716",2.25156893332289e-05,0.0054780666618969,0.0047731553986367,"712428/710820/715615/712299/722000/707749/697017/711743/574378/713737/574296/699578/717994/715283/719350/701025/704130/713425/697482/711180",20
"23","MPP.1","BP","GO:0001816","cytokine production","20/219","281/8716",2.49684103442449e-05,0.0054780666618969,0.0047731553986367,"712428/710820/715615/712299/722000/707749/697017/711743/574378/713737/574296/699578/717994/715283/719350/701025/704130/713425/697482/711180",20
"24","MPP.1","BP","GO:0045087","innate immune response","22/219","330/8716",2.68313469154134e-05,0.0054780666618969,0.0047731553986367,"710820/707749/703281/780935/574378/574360/713737/574296/699578/696712/106997899/702743/613025/715283/693567/701025/712265/694286/704130/697482/697969/695683",22
"25","MPP.1","BP","GO:0032640","tumor necrosis factor production","8/219","51/8716",3.50931688756603e-05,0.00614130455324056,0.0053510486075067,"715615/722000/697017/574296/715283/719350/704130/697482",8
"26","MPP.1","BP","GO:0032680","regulation of tumor necrosis factor production","8/219","51/8716",3.50931688756603e-05,0.00614130455324056,0.0053510486075067,"715615/722000/697017/574296/715283/719350/704130/697482",8
"27","MPP.1","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","8/219","53/8716",4.67829889695882e-05,0.0071636451859682,0.00624183563357401,"715615/722000/697017/574296/715283/719350/704130/697482",8
